Club Name,Recordings,Club Identifier,Country,Activity_Score
Cardiff and Vale College,97,basketball-academy,Wales,97.0
Basketball Wales,87,basketball-wales,Wales,87.0
Basketball Wales  2,23,basketball-wales-2,Wales,23.0
Cardiff Airport U9s,38,cardiff-airport-u9s,Wales,38.0
Cardiff Bay FC,21,cardiff-bay-football-club,Wales,21.0
Cardiff Bay Warriors,97,cardiff-bay-warriors-1,Wales,97.0
Cardiff City FC Community Foundation,39,cardiff-city-fc-community-foundation,Wales,39.0
Cardiff City,59,cardiff-city-football-club,Wales,59.0
Cardiff City LFC,30,cardiff-city-ladies-fc,Wales,30.0
CARDIFF CORINTHIANS AFC,28,cardiff-corinthians-fc,Wales,28.0
Cardiff Dracs First Team,65,cardiff-dracs-first-team,Wales,65.0
Cardiff Met Bucs 5,23,rhino-group-holdings-limited,Wales,23.0
Cardiff Met RFC,10,dinas-powys-rfc,Wales,10.0
Cardiff Schools Rugby Union,55,cardiff-schools-rugby-union,Wales,55.0
Cardiff Soccers 09,32,cardiff-soccers-09,Wales,32.0
Cardiff Soccers B14 Blue,29,cardiff-soccers-b14-blue,Wales,29.0
Cardiff Sockers,498,cardiff-mustangs,Wales,498.0
Cardiff Sockers 2011G (W),28,cardiff-sockers-2011g-b,Wales,28.0
Cardiff Sockers 2024 - Veo 3,37,la-costa-canyon-varsity-girls-soccer-712cc3f4,Wales,37.0
cardiff university hockey club,22,cardiff-university-hockey-club,Wales,22.0
CARDIFF UNIVERSITY,10,cardiff-university-sport,Wales,10.0
Football Association of Wales (Referees),45,football-association-of-wales,Wales,45.0
Johnson & Wales University,60,johnson-wales-university,Wales,60.0
"Johnson & Wales University, Women's Ice Hockey",24,johnson-wales-university-womens-ice-hockey,Wales,24.0
Lacrosse Wales,15,lacrosse-wales,Wales,15.0
