Club Name,Country,Activity_Score,Phones,Emails,Website,Contact_Found,Search_Status
Beta camera club,Unknown,62601.0,[],[],,False,Demo mode - ready for real search
CAMERA_SERVICE_FOSBURY,Unknown,39488.0,[],[],,False,Demo mode - ready for real search
Eyeball,Unknown,26093.0,[],[],,False,Demo mode - ready for real search
Veo,Unknown,15039.0,[],[],,False,Demo mode - ready for real search
Footballhub,Unknown,10270.0,[],[],,False,Demo mode - ready for real search
LIGA BEMOWSKA/SUPERLIGA6 BIZNES,Unknown,8770.0,[],[],,False,Demo mode - ready for real search
MVLA,Unknown,8713.0,[],[],,False,Demo mode - ready for real search
ELIT LIGA,Unknown,7190.0,[],[],,False,Demo mode - ready for real search
Footballhub,Unknown,6554.0,[],[],,False,Demo mode - ready for real search
Elite Scouting,Unknown,6549.0,[],[],,False,Demo mode - ready for real search
