Club Name,Country,Activity_Score
FC Fredericia,England,5493.0
Misato JrYouth FC,England,4005.0
Ipswich Town FC,England,3663.0
Florida Premier FC,United States,3325.0
FC København,England,3316.0
Florida Kraze Krush,United States,3193.0
Maryland United,England,3131.0
Atlanta United Academy,England,3080.0
Manly United FC,England,2946.0
Michigan Jaguars FC,England,2779.0
Sheffield United Academy,England,2651.0
Beach FC Boys,England,2639.0
LouCity/Racing Academy,England,2591.0
LAFC So Cal,England,2515.0
Maccabi Haifa fc,England,2267.0
FC Estrella,England,2256.0
Inter CT FC,England,2134.0
FC Honka,England,2112.0
GUAYAQUIL CITY F.C.,England,2089.0
FC Flora,England,2015.0
Liverpool FC IA Michigan Central,England,1941.0
Fleetwood Town,England,1905.0
LFC IA WA,England,1846.0
Lions FC,England,1810.0
Austin FC,England,1791.0
Chicago FC United,England,1772.0
Keystone FC,England,1763.0
Edmonton Scottish,Scotland,1757.0
Mounties Wanderers FC,England,1690.0
Manchester City FC,England,1626.0
FC PLANET,England,1604.0
LNFC VEO,England,1551.0
Länk FC Vilaverdense,England,1535.0
FC Mirage,England,1527.0
Bulls FC Academy,England,1480.0
Brisbane City FC,England,1470.0
Midwest United FC,England,1406.0
Columbus United,England,1394.0
Kashima Antlers FC,England,1389.0
FC東京,England,1363.0
CIBAO FC,England,1338.0
Logan FC,England,1309.0
Blackpool FC,England,1295.0
Eugene Metro FC,England,1295.0
Burnley FC,England,1280.0
Florida United,United States,1253.0
FC Tampa Rangers,England,1253.0
LBFC,England,1202.0
Cheltenham Town Academy,England,1184.0
Aris FC 1930 LTD.,England,1161.0
