name,source,url,country,level,type,scraped_date,combined_scrape_date,total_sources_checked
Clubs,Premier League,https://www.premierleague.com/clubs,England,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Find out more about the people you need at your club,Liverpool FA,https://www.liverpoolfa.com/clubs,England,county,county_fa,2025-08-03,2025-08-03 21:52:49,5
Brora Rangers,SPFL,https://spfl.co.uk/clubs,Scotland,league,scottish_league,2025-08-03,2025-08-03 21:52:49,5
Alloa Athletic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Kilmarnock,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Montrose,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Motherwell,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Partick Thistle,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Peterhead,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Queen of the South,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Queen&#039;s Park,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Raith Rovers,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Rangers,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Ross County,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
St. Johnstone,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
St. Mirren,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Stenhousemuir,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Stirling Albion,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Stranraer,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
The Spartans,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Brechin City,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Kent Green United,Kent FA,https://www.kentfa.com/clubs,England,county,county_fa,2025-08-03,2025-08-03 21:52:49,5
Setting up a club,Kent FA,https://www.kentfa.com/clubs,England,county,county_fa,2025-08-03,2025-08-03 21:52:49,5
Airdrieonians,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Livingston,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Kelty Hearts,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Annan Athletic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Aberdeen,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Arbroath,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Ayr United,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Celtic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Clyde,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Cove Rangers,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Dumbarton,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Dundee,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Dundee United,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Dunfermline Athletic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
East Fife,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
East Kilbride,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Edinburgh City,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Elgin City,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Falkirk,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Forfar Athletic,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Greenock Morton,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Hamilton Academical,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Heart of Midlothian,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Hibernian,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
Inverness Caledonian Thistle,Scottish Premier League,https://spfl.co.uk/clubs,Scotland,premier,club_listing,2025-08-03,2025-08-03 21:52:49,5
